club_name;championship_pos;played;pts;wons;looses;draws
"""Arsenal""";1;28;64;20;4;4
"""Liverpool""";2;28;64;19;2;7
"""Manchester City""";3;28;63;19;3;6
"""Aston Villa""";4;30;59;18;7;5
"""Tottenham Hotspur""";5;29;56;17;7;5
"""Manchester United""";6;29;48;15;11;3
"""West Ham United""";7;30;44;12;10;8
"""Newcastle United""";8;29;43;13;12;4
"""Brighton""";9;28;42;11;8;9
"""Wolverhampton""";10;29;41;12;12;5
"""Chelsea""";11;28;40;11;10;7
"""Fulham""";12;30;39;11;13;6
"""Bournemouth""";13;29;38;10;11;8
"""Crystal Palace""";14;29;30;7;13;9
"""Brentford""";15;30;27;7;17;6
"""Everton""";16;29;25;8;14;7
"""Nottingham Forest""";17;30;22;6;16;8
"""Luton Town""";18;30;22;5;18;7
"""Burnley""";19;30;18;4;20;6
"""Sheffield United""";20;29;15;3;20;6
