club_name;championship_pos;played;pts;wons;looses;draws
"""Bayer Leverkusen""";1;27;73;23;0;4
"""Bayern Munich""";2;27;60;19;5;3
"""Stuttgart""";3;26;56;18;6;2
"""Dortmund""";4;27;53;15;4;8
"""RB Leipzig""";5;27;50;15;7;5
"""E. Frankfurt""";6;27;41;10;6;11
"""Freiburg""";7;27;36;10;11;6
"""FC Augsburg""";8;26;35;9;9;8
"""Hoffenheim""";9;27;33;9;12;6
"""Werder Bremen""";10;26;30;8;13;6
"""Heidenheim""";11;27;29;7;11;8
"""Union Berlin""";12;27;29;8;14;5
"""Monchengladbach""";13;27;28;6;11;10
"""Wolfsburg""";14;27;28;7;13;7
"""VFL Bochum""";15;26;25;5;11;10
"""FSV Mainz""";16;27;20;3;13;11
"""FK Koln""";17;26;18;3;14;9
"""Darmstadt 98""";18;26;13;2;17;7
